NAICS,Lat,Long,Emps
6231,39.702929,-104.91428,113
8141,39.622944,-104.86342,1
4411,39.69597,-104.96152,3
8129,39.699337,-104.80906,7
5419,39.744271,-104.99062,6
5416,39.668937,-104.84527,3
4521,39.715974,-104.95018,319
4521,39.856637,-105.06098,185
4521,39.609937,-105.09608,228
4521,39.710963,-104.82293,178
5313,39.695924,-104.95368,1
8141,39.718021,-104.89662,1
5413,39.745902,-104.99349,5
5111,39.786724,-105.03442,1
5614,39.722841,-105.08178,27
5416,39.876491,-104.96276,1
6232,39.759622,-105.0438,165
8141,39.760113,-105.13328,1
5412,39.76453,-104.84672,3
5619,39.849656,-105.13397,1
5413,39.834812,-105.05571,1
5223,39.753763,-105.047,1
2382,39.804263,-105.12139,1
8141,39.758763,-104.88192,1
5411,39.827362,-104.91226,2
8113,39.798813,-105.09302,1
5241,39.712429,-105.13344,3
5241,39.854589,-105.05279,3
5241,39.661635,-104.85675,7
5241,39.624337,-104.91322,3
5241,39.731026,-104.98758,59
5619,39.871419,-105.09857,1
4251,39.776255,-105.11612,1
2131,39.685563,-104.87281,1
4511,39.734752,-105.15931,5
5415,39.687088,-104.98418,1
6239,39.782167,-105.06232,6
6239,39.782167,-105.06232,25
5239,39.612523,-104.97603,1
8141,39.663082,-105.1648,1
5611,39.661778,-104.86248,2
5416,39.751198,-104.99338,1
5223,39.855537,-105.10243,2
4251,39.700553,-104.97588,1
5415,39.764784,-105.08412,1
2383,39.662525,-104.91845,2
5412,39.787937,-105.06085,1
5411,39.607937,-104.89836,39
5181,39.606545,-104.90438,3
2361,39.634609,-105.1521,2
3219,39.78882,-104.99482,3
7221,39.799304,-105.08165,1
8111,39.791137,-104.93349,1
5182,39.606545,-104.90438,3
5239,39.649259,-104.93152,1
2381,39.617933,-104.91818,11
5412,39.655902,-104.99018,3
5611,39.751013,-104.99709,1
6241,39.825436,-105.02978,1
4921,39.764037,-104.84715,3
5417,39.796599,-105.06832,2
8141,39.753467,-104.88444,1
8141,39.731726,-104.90055,1
5223,39.655902,-104.99018,2
5415,39.610163,-105.12032,1
5511,39.615503,-105.06175,1
5414,39.75789,-105.01972,2
5415,39.605332,-104.88497,1
2361,39.715408,-105.15598,4
4243,39.704249,-104.96152,1
4251,39.741894,-104.98824,1
5241,39.894183,-105.04674,1
5413,39.802104,-104.94668,1
5413,39.782305,-104.82832,6
4234,39.746449,-105.07218,5
2111,39.745764,-104.99031,6
8141,39.643434,-104.93438,1
8111,39.653786,-105.01481,4
7222,39.61824,-105.09318,5
3333,39.778737,-104.91942,4
8111,39.727313,-105.02492,2
6213,39.771427,-105.03008,1
7222,39.676831,-104.94042,6
3344,39.78334,-105.12982,3
5239,39.747715,-104.99095,1
5413,39.621562,-105.14064,1
4922,39.725537,-105.00822,6
8141,39.637153,-104.94882,1
5415,39.768163,-105.03152,1
5414,39.805748,-105.09758,1
5312,39.798833,-105.18836,1
2131,39.755498,-104.99085,1
4431,39.638367,-104.89567,2
5312,39.760163,-105.03267,1
8141,39.716143,-104.94389,1
4841,39.885237,-104.94997,1
8141,39.616581,-105.07138,1
5415,39.890432,-104.95256,1
8141,39.770993,-105.03802,1
8141,39.627437,-104.96728,1
5311,39.803463,-105.06222,1
5312,39.607662,-104.80786,1
8111,39.747206,-105.10942,3
6116,39.856737,-105.07567,4
8141,39.748856,-104.99818,1
8111,39.87888,-104.95968,9
4243,39.694222,-104.98028,4
5415,39.752576,-104.96488,1
5242,39.636938,-104.82556,2
8121,39.650125,-105.07819,1
7224,39.734073,-104.98628,11
5511,39.617062,-104.85703,1
3399,39.676027,-105.15655,4
4421,39.653137,-104.87014,6
8141,39.719038,-104.97152,2
8114,39.749853,-104.92478,1
2383,39.609139,-105.1117,1
5414,39.719194,-104.95956,1
5312,39.702297,-104.95176,1
8121,39.609463,-104.90733,1
4451,39.71873,-105.06241,1
2389,39.742724,-104.87188,2
4237,39.80827,-104.93498,20
4244,39.787862,-104.97486,5
5415,39.614578,-105.00928,1
7115,39.603689,-104.90958,1
7113,39.737658,-104.98212,4
4471,39.610752,-105.10962,7
5239,39.755757,-105.00413,1
5511,39.749099,-104.99215,1
8141,39.615665,-104.86925,1
8141,39.726479,-104.96232,1
2361,39.780316,-105.01453,1
8134,39.699257,-104.9339,9
5312,39.623863,-104.90724,2
2361,39.61479,-104.81571,1
8141,39.61887,-105.06907,1
8141,39.714751,-105.10178,2
4543,39.683363,-104.93674,2
4251,39.612199,-105.10822,1
4251,39.605953,-104.86069,1
4512,39.743804,-104.99075,36
4512,39.735697,-105.15868,65
4512,39.609485,-105.08755,41
4512,39.866833,-105.05287,38
4451,39.848763,-104.99451,32
4451,39.740537,-105.06978,26
4512,39.699114,-104.94043,42
4512,39.713236,-104.82505,43
4451,39.769163,-105.01952,26
3152,39.656839,-105.03255,1
6116,39.813825,-105.15827,1
8141,39.754136,-104.89668,1
6213,39.684998,-104.94198,2
5221,39.6641,-104.8353,1
8141,39.616937,-104.94459,1
4238,39.771776,-104.97021,2
8141,39.725363,-104.89537,1
4841,39.758614,-104.92008,1
4251,39.735747,-104.97548,1
8141,39.646148,-104.93054,1
8112,39.734135,-104.94932,12
5415,39.654863,-104.81093,4
8141,39.697092,-104.96502,1
5312,39.668722,-104.92074,1
5511,39.754837,-104.88872,1
4481,39.720863,-104.95478,2
4244,39.680262,-104.93142,2
6111,39.691631,-104.99222,6
4246,39.716737,-104.99723,4
5313,39.757963,-104.87392,1
8141,39.742583,-104.91648,1
5312,39.636589,-104.82798,1
8111,39.882238,-105.043,1
2382,39.704376,-104.97708,1
5223,39.738269,-105.15751,1
8113,39.658637,-104.86998,2
8141,39.847937,-105.11059,1
5411,39.684602,-104.93712,1
4251,39.613063,-105.06472,1
5511,39.61504,-105.15662,1
5223,39.713425,-104.92948,5
2361,39.813077,-105.19078,3
8123,39.608235,-105.03789,5
5411,39.755063,-105.00755,4
7222,39.786111,-105.02538,9
6116,39.667837,-105.07517,1
8141,39.71598,-104.9439,1
8129,39.696837,-104.81042,1
4251,39.60392,-104.87964,1
2383,39.801763,-104.91446,1
5613,39.737658,-104.98212,3
5242,39.841386,-105.07958,1
5416,39.685241,-105.13187,1
6244,39.635136,-105.15748,5
5311,39.717101,-104.94952,2
3118,39.676216,-104.86582,2
8111,39.882238,-105.043,1
4251,39.661183,-105.1072,1
9999,39.676463,-104.95062,1
2111,39.746332,-104.99104,1
6213,39.721838,-105.05338,1
5311,39.82204,-105.18779,1
2383,39.716798,-105.01895,1
7222,39.741425,-105.00958,4
8141,39.715524,-104.93602,1
2381,39.799324,-105.1935,2
5415,39.682653,-104.96622,1
6214,39.742837,-105.04311,42
4251,39.61967,-104.88801,1
4471,39.677539,-104.90421,11
5415,39.833282,-105.15422,1
7222,39.747961,-105.14222,4
6211,39.653237,-104.98188,4
6211,39.691822,-104.95212,1
4482,39.770575,-105.04418,1
6211,39.722282,-104.97622,1
5419,39.84845,-104.99278,5
8114,39.718387,-104.94962,1
7222,39.856237,-104.95686,1
5161,39.863697,-105.08249,1
5413,39.752666,-104.99662,71
3279,39.680813,-104.99015,51
8121,39.652963,-104.88322,1
5239,39.6895,-104.80252,1
5412,39.687237,-104.81287,2
5223,39.811837,-105.15802,1
4238,39.771437,-104.96677,1
8141,39.81351,-105.17795,1
8129,39.602467,-104.85656,1
7221,39.710723,-105.03308,15
4251,39.762237,-105.0478,1
7221,39.728327,-104.84702,6
5415,39.602063,-104.90095,1
6231,39.742858,-105.03476,73
6114,39.735734,-104.99012,5
5411,39.697126,-105.08288,1
5231,39.662963,-104.86395,2
5312,39.661789,-104.86212,1
5259,39.745404,-104.99035,2
8141,39.722062,-104.93802,1
5416,39.600042,-104.90712,1
5239,39.611697,-104.91932,1
5324,39.7936,-104.94778,12
4452,39.734752,-105.15931,1
4246,39.61675,-105.10522,2
8141,39.716408,-105.18029,1
4859,39.666937,-104.83652,3
6216,39.682254,-104.94282,1
4481,39.609937,-105.09608,1
5614,39.633424,-104.90059,3
4237,39.6517,-105.0545,6
4237,39.767307,-104.81551,10
4237,39.720562,-105.00038,10
4238,39.776293,-104.91778,54
4411,39.799948,-105.05608,1
5415,39.703695,-105.07382,1
6233,39.718401,-104.97708,139
4452,39.618063,-105.08787,4
8111,39.8847,-104.881,8
4249,39.69254,-104.98768,1
5311,39.720863,-104.95202,1
4239,39.740099,-105.00996,7
5311,39.746891,-105.13164,2
5415,39.717563,-104.94602,1
2383,39.679522,-105.02732,2
4541,39.601271,-104.89009,2
8141,39.719966,-104.94602,1
5415,39.752187,-104.96738,3
5239,39.6677,-104.94042,1
5418,39.7455,-104.99198,2
2382,39.799494,-104.95029,2
8141,39.614163,-104.90641,1
5313,39.607795,-105.18378,1
8141,39.885614,-105.03692,1
5415,39.694488,-104.97828,2
6244,39.708932,-105.01938,2
4543,39.702336,-105.07359,2
8141,39.674836,-104.90505,1
8141,39.727924,-104.95078,1
6211,39.719263,-104.95176,6
8141,39.743456,-104.90922,1
5417,39.664563,-105.1119,1
